,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
6, , ,"[TRVch# 88 Dt:08/03/2018] , Billno-KNG115372017100052",1,17810,0,0,17810
7, , ,"[TRVch# 89 Dt:08/03/2018] , Billno-KNG115372017100051",1,5166,0,0,5166
8, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,4662,0,0,4662
9, , ,"[TRVch# 428 Dt:31/03/2018] , Billno-KNG115372017100057",1,4662,0,0,4662
10, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,5999,0,0,5999
11, , ,"[TRVch# 427 Dt:31/03/2018] , Billno-KNG115372017100058",1,5999,0,0,5999
12, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,101161,56965,14405,29791
13, , ,"[TRVch# 84 Dt:08/03/2018] , Billno-KNG11537022018-004",1,58196,14000,14405,29791
14, , ,"[TRVch# 86 Dt:08/03/2018] , Billno-KNG115372017100045",1,42965,42965,0,0
15, ,05-2030-03-001-01-S00N-V-N-01-SALARIES,Total,2,29000,0,0,29000
16, , ,"[TRVch# 392 Dt:31/03/2018] , Billno-KNG115372017100055",1,24000,0,0,24000
17, , ,"[TRVch# 393 Dt:31/03/2018] , Billno-KNG115372017100056",1,5000,0,0,5000
18, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,256144,100416,7239,148489
19, , ,"[TRVch# 118 Dt:08/03/2018] , Billno-KNG11537022018-003",1,150691,25001,7239,118451
20, , ,"[TRVch# 119 Dt:08/03/2018] , Billno-KNG115372017100046",1,105453,75415,0,30038
21, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,118806,20000,35247,63559
22, , ,"[TRVch# 116 Dt:08/03/2018] , Billno-KNG11537022018-001",1,65494,20000,19963,25531
23, , ,"[TRVch# 117 Dt:08/03/2018] , Billno-KNG11537022018-002",1,53312,0,15284,38028
0,Grand Total, , ,5,426847,64001,6627,356219
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,5,426847,64001,6627,356219
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,1,98438,0,136,98302
3, , ,"[TRVch# 65 Dt:09/04/2018] , Billno-KNG11537032018-001",1,98438,0,136,98302
4, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,58196,14000,30,44166
5, , ,"[TRVch# 66 Dt:09/04/2018] , Billno-KNG11537032018-002",1,58196,14000,30,44166
6, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,152165,30001,639,121525
7, , ,"[TRVch# 100 Dt:09/04/2018] , Billno-KNG11537032018-003",1,152165,30001,639,121525
8, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,118048,20000,5822,92226
9, , ,"[TRVch# 101 Dt:09/04/2018] , Billno-KNG11537032018-004",1,53312,0,5404,47908
10, , ,"[TRVch# 102 Dt:09/04/2018] , Billno-KNG11537032018-005",1,64736,20000,418,44318
0,Grand Total, , ,8,476843,115199,11397,350247
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,8,476843,115199,11397,350247
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,61288,0,106,61182
3, , ,"[TRVch# 190 Dt:31/05/2018] , Billno-KNG115372018100006",1,17810,0,0,17810
4, , ,"[TRVch# 42 Dt:05/05/2018] , Billno-KNG11537042018-005",1,43478,0,106,43372
5, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,58196,14000,1030,43166
6, , ,"[TRVch# 41 Dt:05/05/2018] , Billno-KNG11537042018-004",1,58196,14000,1030,43166
7, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,152652,30001,2439,120212
8, , ,"[TRVch# 41 Dt:05/05/2018] , Billno-KNG11537042018-003",1,152652,30001,2439,120212
9, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,4,204707,71198,7822,125687
10, , ,"[TRVch# 300 Dt:31/05/2018] , Billno-KNG115372018100005",1,46198,46198,0,0
11, , ,"[TRVch# 301 Dt:31/05/2018] , Billno-KNG115372018100004",1,40461,0,0,40461
12, , ,"[TRVch# 39 Dt:05/05/2018] , Billno-KNG11537042018-001",1,64736,25000,1918,37818
13, , ,"[TRVch# 40 Dt:05/05/2018] , Billno-KNG11537042018-002",1,53312,0,5904,47408
0,Grand Total, , ,9,531322,69001,11397,450924
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,9,531322,69001,11397,450924
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,86173,0,106,86067
3, , ,"[TRVch# 189 Dt:30/06/2018] , Billno-KNG115372018100010",1,24885,0,0,24885
4, , ,"[TRVch# 190 Dt:30/06/2018] , Billno-KNG115372018100007",1,17810,0,0,17810
5, , ,"[TRVch# 94 Dt:08/06/2018] , Billno-KNG11537052018-005",1,43478,0,106,43372
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,58196,14000,1030,43166
7, , ,"[TRVch# 93 Dt:08/06/2018] , Billno-KNG11537052018-004",1,58196,14000,1030,43166
8, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,3,268905,30001,2439,236465
9, , ,"[TRVch# 168 Dt:08/06/2018] , Billno-KNG11537052018-003",1,152652,30001,2439,120212
10, , ,"[TRVch# 360 Dt:30/06/2018] , Billno-KNG115372018100008",1,91368,0,0,91368
11, , ,"[TRVch# 361 Dt:30/06/2018] , Billno-KNG115372018100009",1,24885,0,0,24885
12, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,118048,25000,7822,85226
13, , ,"[TRVch# 166 Dt:08/06/2018] , Billno-KNG11537052018-001",1,64736,25000,1918,37818
14, , ,"[TRVch# 167 Dt:08/06/2018] , Billno-KNG11537052018-002",1,53312,0,5904,47408
0,Grand Total, , ,9,402592,69001,11397,322194
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,9,402592,69001,11397,322194
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,53478,0,106,53372
3, , ,"[TRVch# 145 Dt:23/07/2018] , Billno-KNG115372018100013",1,10000,0,0,10000
4, , ,"[TRVch# 29 Dt:05/07/2018] , Billno-KNG11537062018-005",1,43478,0,106,43372
5, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2423,0,0,2423
6, , ,"[TRVch# 144 Dt:23/07/2018] , Billno-KNG115372018100014",1,2423,0,0,2423
7, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,58196,14000,1030,43166
8, , ,"[TRVch# 28 Dt:05/07/2018] , Billno-KNG11537062018-004",1,58196,14000,1030,43166
9, ,05-2029-00-103-04-S00N-V-N-05-OFFICE EXPENSES,Total,1,4070,0,0,4070
10, , ,"[TRVch# 143 Dt:23/07/2018] , Billno-KNG115372018100011",1,4070,0,0,4070
11, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,152652,30001,2439,120212
12, , ,"[TRVch# 25 Dt:05/07/2018] , Billno-KNG11537062018-003",1,152652,30001,2439,120212
13, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,13725,0,0,13725
14, , ,"[TRVch# 256 Dt:23/07/2018] , Billno-KNG115372018100012",1,13725,0,0,13725
15, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,118048,25000,7822,85226
16, , ,"[TRVch# 23 Dt:05/07/2018] , Billno-KNG11537062018-001",1,64736,25000,1918,37818
17, , ,"[TRVch# 24 Dt:05/07/2018] , Billno-KNG11537062018-002",1,53312,0,5904,47408
0,Grand Total, , ,9,404396,72001,11397,320998
1,KNG11-537-TEHSILDAR KASWAN KOTLA,Total, ,9,404396,72001,11397,320998
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,65619,0,106,65513
3, , ,"[TRVch# 149 Dt:31/08/2018] , Billno-KNG115372018100018",1,17810,0,0,17810
4, , ,"[TRVch# 150 Dt:31/08/2018] , Billno-KNG115372018100017",1,3645,0,0,3645
5, , ,"[TRVch# 18 Dt:06/08/2018] , Billno-KNG11537072018-005",1,44164,0,106,44058
6, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2220,0,0,2220
7, , ,"[TRVch# 148 Dt:31/08/2018] , Billno-KNG115372018100015",1,2220,0,0,2220
8, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,58196,17000,1030,40166
9, , ,"[TRVch# 17 Dt:06/08/2018] , Billno-KNG11537072018-004",1,58196,17000,1030,40166
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,1,153338,30001,2439,120898
11, , ,"[TRVch# 25 Dt:06/08/2018] , Billno-KNG11537072018-003",1,153338,30001,2439,120898
12, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,6975,0,0,6975
13, , ,"[TRVch# 252 Dt:31/08/2018] , Billno-KNG115372018100016",1,6975,0,0,6975
14, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,118048,25000,7822,85226
15, , ,"[TRVch# 23 Dt:06/08/2018] , Billno-KNG11537072018-001",1,64736,25000,1918,37818
16, , ,"[TRVch# 24 Dt:06/08/2018] , Billno-KNG11537072018-002",1,53312,0,5904,47408
