,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
12, , ,"[TRVch# 3291 Dt:21/06/2018] , Billno-KNG142052018100010",1,3382,0,0,3382
13, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,40010,0,0,40010
14, , ,"[TRVch# 2735 Dt:08/06/2018] , Billno-KNG142052018100009",1,40010,0,0,40010
15, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
16, , ,"[TRVch# 2734 Dt:08/06/2018] , Billno-KNG142052018100008",1,7020,0,0,7020
0,Grand Total, , ,8,863297,150000,65473,647824
1,KNG14-205-GSSS AERLA,Total, ,8,863297,150000,65473,647824
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,269495,0,19969,249526
3, , ,"[TRVch# 807 Dt:06/07/2018] , Billno-KNG14205062018-001",1,52151,0,0,52151
4, , ,"[TRVch# 808 Dt:06/07/2018] , Billno-KNG14205062018-002",1,217344,0,19969,197375
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,560027,150000,45504,364523
6, , ,"[TRVch# 809 Dt:06/07/2018] , Billno-KNG14205062018-003",1,89696,50000,16060,23636
7, , ,"[TRVch# 810 Dt:06/07/2018] , Billno-KNG14205062018-004",1,232263,100000,6150,126113
8, , ,"[TRVch# 811 Dt:06/07/2018] , Billno-KNG14205062018-005",1,238068,0,23294,214774
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6750,0,0,6750
10, , ,"[TRVch# 863 Dt:06/07/2018] , Billno-KNG142052018100011",1,6750,0,0,6750
11, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,20005,0,0,20005
12, , ,"[TRVch# 861 Dt:06/07/2018] , Billno-KNG142052018100013",1,20005,0,0,20005
13, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,7020,0,0,7020
14, , ,"[TRVch# 862 Dt:06/07/2018] , Billno-KNG142052018100012",1,7020,0,0,7020
0,Grand Total, , ,10,1385043,150000,65482,1169561
1,KNG14-205-GSSS AERLA,Total, ,10,1385043,150000,65482,1169561
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,500000,0,0,500000
3, , ,"[TRVch# 40 Dt:06/08/2018] , Billno-KNG142052018100018",1,500000,0,0,500000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,295978,0,19978,276000
5, , ,"[TRVch# 3060 Dt:31/08/2018] , Billno-KNG142052018100019",1,8828,0,0,8828
