,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
11, , ,"[TRVch# 156 Dt:07/05/2018] , Billno-KNR03200042018-005",1,348094,171000,13270,163824
12, , ,"[TRVch# 157 Dt:07/05/2018] , Billno-KNR03200042018-006",1,253578,0,18951,234627
0,Grand Total, , ,11,2655644,256000,48715,2350929
1,KNR03-200-GSSS MOORANG,Total, ,11,2655644,256000,48715,2350929
2, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,49697,0,0,49697
3, , ,"[TRVch# 5 Dt:08/06/2018] , Billno-KNR032002018100006",1,49697,0,0,49697
4, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,1000000,0,0,1000000
5, , ,"[TRVch# 8 Dt:08/06/2018] , Billno-KNR032002018100004",1,1000000,0,0,1000000
6, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,715980,0,0,715980
7, , ,"[TRVch# 9 Dt:08/06/2018] , Billno-KNR032002018100005",1,715980,0,0,715980
8, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,17915,0,106,17809
9, , ,"[TRVch# 179 Dt:08/06/2018] , Billno-KNR03200052018-001",1,17915,0,106,17809
10, ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14040,0,0,14040
11, , ,"[TRVch# 409 Dt:26/06/2018] , Billno-KNR032002018100007",1,14040,0,0,14040
12, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,155922,55000,11100,89822
13, , ,"[TRVch# 180 Dt:08/06/2018] , Billno-KNR03200052018-002",1,117308,55000,9178,53130
14, , ,"[TRVch# 181 Dt:08/06/2018] , Billno-KNR03200052018-003",1,38614,0,1922,36692
15, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,684934,201000,37509,446425
16, , ,"[TRVch# 182 Dt:08/06/2018] , Billno-KNR03200052018-004",1,78436,30000,5288,43148
17, , ,"[TRVch# 183 Dt:08/06/2018] , Billno-KNR03200052018-005",1,352920,171000,13270,168650
18, , ,"[TRVch# 184 Dt:08/06/2018] , Billno-KNR03200052018-006",1,253578,0,18951,234627
19, ,31-2202-02-796-03-S00N-V-N-02-WAGES,Total,1,17156,0,0,17156
20, , ,"[TRVch# 410 Dt:26/06/2018] , Billno-KNR032002018100008",1,17156,0,0,17156
0,Grand Total, , ,7,882251,206000,48655,627596
1,KNR03-200-GSSS MOORANG,Total, ,7,882251,206000,48655,627596
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 89 Dt:23/07/2018] , Billno-KNR032002018100009",1,100000,0,0,100000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,17915,0,106,17809
5, , ,"[TRVch# 127 Dt:06/07/2018] , Billno-KNR03200062018-001",1,17915,0,106,17809
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,155922,55000,11100,89822
7, , ,"[TRVch# 128 Dt:06/07/2018] , Billno-KNR03200062018-002",1,117308,55000,9178,53130
8, , ,"[TRVch# 129 Dt:06/07/2018] , Billno-KNR03200062018-003",1,38614,0,1922,36692
9, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,608414,151000,37449,419965
10, , ,"[TRVch# 130 Dt:06/07/2018] , Billno-KNR03200062018-004",1,78436,30000,5288,43148
11, , ,"[TRVch# 131 Dt:06/07/2018] , Billno-KNR03200062018-005",1,276400,121000,13210,142190
12, , ,"[TRVch# 132 Dt:06/07/2018] , Billno-KNR03200062018-006",1,253578,0,18951,234627
0,Grand Total, , ,14,2600741,206000,48710,2346031
1,KNR03-200-GSSS MOORANG,Total, ,14,2600741,206000,48710,2346031
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1785070,0,0,1785070
3, , ,"[TRVch# 102 Dt:31/08/2018] , Billno-KNR032002018100013",1,600000,0,0,600000
4, , ,"[TRVch# 103 Dt:31/08/2018] , Billno-KNR032002018100017",1,685070,0,0,685070
