,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,97247,12000,3439,81808
3, , ,"[TRVch# 1894 Dt:07/07/2018] , Billno-KNG04244062018-001",1,97247,12000,3439,81808
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,253564,85000,20460,148104
5, , ,"[TRVch# 1895 Dt:07/07/2018] , Billno-KNG04244062018-002",1,84338,45000,6060,33278
6, , ,"[TRVch# 1896 Dt:07/07/2018] , Billno-KNG04244062018-003",1,75654,40000,5060,30594
7, , ,"[TRVch# 1897 Dt:07/07/2018] , Billno-KNG04244062018-004",1,93572,0,9340,84232
0,Grand Total, , ,6,351011,97000,23899,230112
1,KNG04-244-GHS KOPRA,Total, ,6,351011,97000,23899,230112
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,97347,12000,3439,81908
3, , ,"[TRVch# 2053 Dt:07/08/2018] , Billno-KNG04244072018-001",1,97297,12000,3439,81858
4, , ,"[TRVch# 3207 Dt:31/08/2018] , Billno-KNG042442018100005",1,50,0,0,50
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,253664,85000,20460,148204
6, , ,"[TRVch# 2054 Dt:07/08/2018] , Billno-KNG04244072018-002",1,84338,45000,6060,33278
7, , ,"[TRVch# 2055 Dt:07/08/2018] , Billno-KNG04244072018-003",1,75654,40000,5060,30594
8, , ,"[TRVch# 2056 Dt:07/08/2018] , Billno-KNG04244072018-004",1,93622,0,9340,84282
9, , ,"[TRVch# 3208 Dt:31/08/2018] , Billno-KNG042442018100006",1,50,0,0,50
